Category,Descript,DayOfWeek,PdDistrict,Resolution
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,SOUTHERN,"ARREST, BOOKED"
MISSING PERSON,FOUND PERSON,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,PARK,JUVENILE CITED
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,Friday,PARK,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,PARK,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,MISSION,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Friday,TARAVAL,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,INGLESIDE,NONE
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Friday,NORTHERN,NONE
BURGLARY,SAFE BURGLARY OF A STORE,Monday,TARAVAL,NONE
ASSAULT,BATTERY,Friday,NORTHERN,COMPLAINANT REFUSES TO PROSECUTE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,RICHMOND,"ARREST, CITED"
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Friday,INGLESIDE,NONE
WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Friday,NORTHERN,"ARREST, BOOKED"
WEAPON LAWS,POSS OF LOADED FIREARM,Friday,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Friday,SOUTHERN,"ARREST, BOOKED"
